MoveEvent(x=724, y=262, time=1683894822.9834113)
MoveEvent(x=740, y=245, time=1683894822.991412)
MoveEvent(x=758, y=228, time=1683894822.9994898)
MoveEvent(x=773, y=215, time=1683894823.007575)
MoveEvent(x=795, y=199, time=1683894823.0152702)
MoveEvent(x=809, y=189, time=1683894823.0236907)
MoveEvent(x=827, y=179, time=1683894823.031803)
MoveEvent(x=838, y=173, time=1683894823.0398238)
MoveEvent(x=849, y=169, time=1683894823.0477989)
MoveEvent(x=858, y=165, time=1683894823.05589)
MoveEvent(x=866, y=164, time=1683894823.0638173)
MoveEvent(x=871, y=164, time=1683894823.071811)
MoveEvent(x=874, y=164, time=1683894823.0799584)
MoveEvent(x=876, y=164, time=1683894823.0879319)
MoveEvent(x=878, y=164, time=1683894823.0959277)
MoveEvent(x=879, y=164, time=1683894823.1035264)
MoveEvent(x=880, y=169, time=1683894823.111944)
MoveEvent(x=882, y=181, time=1683894823.1193354)
MoveEvent(x=882, y=197, time=1683894823.1275468)
MoveEvent(x=882, y=219, time=1683894823.1359444)
MoveEvent(x=884, y=242, time=1683894823.1431596)
MoveEvent(x=891, y=267, time=1683894823.1510992)
MoveEvent(x=898, y=293, time=1683894823.1601088)
MoveEvent(x=901, y=309, time=1683894823.1680832)
MoveEvent(x=908, y=324, time=1683894823.176082)
MoveEvent(x=912, y=335, time=1683894823.1834455)
MoveEvent(x=919, y=346, time=1683894823.1914403)
MoveEvent(x=927, y=358, time=1683894823.1999)
MoveEvent(x=932, y=365, time=1683894823.2080247)
MoveEvent(x=937, y=370, time=1683894823.2160206)
MoveEvent(x=938, y=371, time=1683894823.2233407)
MoveEvent(x=940, y=373, time=1683894823.23162)
MoveEvent(x=942, y=373, time=1683894823.2476034)
MoveEvent(x=944, y=373, time=1683894823.2558525)
MoveEvent(x=948, y=373, time=1683894823.263257)
MoveEvent(x=955, y=368, time=1683894823.2719443)
MoveEvent(x=964, y=362, time=1683894823.2794766)
MoveEvent(x=976, y=348, time=1683894823.2877252)
MoveEvent(x=983, y=335, time=1683894823.2958174)
MoveEvent(x=997, y=316, time=1683894823.3038228)
