MoveEvent(x=1501, y=-17, time=1681727651.2542617)
MoveEvent(x=1516, y=-10, time=1681727651.2605817)
MoveEvent(x=1527, y=-8, time=1681727651.2681057)
MoveEvent(x=1536, y=-6, time=1681727651.2743971)
MoveEvent(x=1543, y=-4, time=1681727651.2818756)
MoveEvent(x=1556, y=-4, time=1681727651.4909139)
MoveEvent(x=1564, y=-4, time=1681727651.4975748)
MoveEvent(x=1577, y=-5, time=1681727651.5052772)
MoveEvent(x=1590, y=-3, time=1681727651.5119505)
MoveEvent(x=1598, y=-1, time=1681727651.5180278)
MoveEvent(x=1606, y=-2, time=1681727651.5250654)
MoveEvent(x=1611, y=-2, time=1681727651.5325575)
MoveEvent(x=1617, y=0, time=1681727651.539074)
MoveEvent(x=1624, y=-3, time=1681727651.545718)
MoveEvent(x=1629, y=0, time=1681727651.5526037)
MoveEvent(x=1632, y=-1, time=1681727651.560199)
MoveEvent(x=1635, y=-1, time=1681727651.5669894)
MoveEvent(x=1637, y=-1, time=1681727651.573691)
MoveEvent(x=1639, y=0, time=1681727651.5807133)
MoveEvent(x=1641, y=-1, time=1681727651.5876946)
MoveEvent(x=1643, y=0, time=1681727651.5939026)
MoveEvent(x=1645, y=-1, time=1681727651.6013763)
MoveEvent(x=1647, y=-1, time=1681727651.6076577)
MoveEvent(x=1651, y=0, time=1681727651.6146343)
MoveEvent(x=1654, y=0, time=1681727651.621666)
MoveEvent(x=1656, y=-1, time=1681727651.6289403)
MoveEvent(x=1660, y=0, time=1681727651.6357641)
MoveEvent(x=1664, y=-1, time=1681727651.6421268)
MoveEvent(x=1668, y=0, time=1681727651.649562)
MoveEvent(x=1671, y=0, time=1681727651.6555696)
MoveEvent(x=1675, y=-1, time=1681727651.6633291)
MoveEvent(x=1678, y=0, time=1681727651.6696465)
MoveEvent(x=1682, y=-1, time=1681727651.6769948)
MoveEvent(x=1687, y=-3, time=1681727651.6838777)
MoveEvent(x=1694, y=-1, time=1681727651.690222)
MoveEvent(x=1699, y=-3, time=1681727651.6977403)
MoveEvent(x=1704, y=-2, time=1681727651.7046707)
MoveEvent(x=1708, y=-1, time=1681727651.7110546)
MoveEvent(x=1712, y=-3, time=1681727651.7176986)
MoveEvent(x=1714, y=0, time=1681727651.7246392)
MoveEvent(x=1716, y=0, time=1681727651.732306)
MoveEvent(x=1716, y=0, time=1681727651.739269)
MoveEvent(x=1717, y=0, time=1681727651.745641)
MoveEvent(x=1718, y=0, time=1681727651.7522783)
MoveEvent(x=1718, y=-1, time=1681727651.779906)
MoveEvent(x=1718, y=-1, time=1681727651.793739)
MoveEvent(x=1717, y=-1, time=1681727651.8006034)
MoveEvent(x=1717, y=0, time=1681727651.8075974)
MoveEvent(x=1716, y=0, time=1681727651.821205)
MoveEvent(x=1715, y=0, time=1681727651.8278632)
MoveEvent(x=1714, y=0, time=1681727651.8414922)
MoveEvent(x=1713, y=0, time=1681727651.8484917)
MoveEvent(x=1712, y=0, time=1681727651.8622441)
MoveEvent(x=1711, y=0, time=1681727651.8693683)
MoveEvent(x=1711, y=0, time=1681727651.8760095)
MoveEvent(x=1710, y=0, time=1681727651.8969038)
MoveEvent(x=1710, y=0, time=1681727651.958648)
MoveEvent(x=1710, y=-1, time=1681727651.965836)
MoveEvent(x=1712, y=-1, time=1681727651.986738)
MoveEvent(x=1714, y=0, time=1681727651.9930058)
MoveEvent(x=1716, y=0, time=1681727651.9998968)
MoveEvent(x=1718, y=-1, time=1681727652.0067565)
MoveEvent(x=1721, y=0, time=1681727652.0139484)
MoveEvent(x=1725, y=0, time=1681727652.0205345)
MoveEvent(x=1728, y=0, time=1681727652.0276964)
MoveEvent(x=1730, y=-1, time=1681727652.0346699)
MoveEvent(x=1733, y=0, time=1681727652.040791)
MoveEvent(x=1735, y=0, time=1681727652.0483432)
MoveEvent(x=1737, y=0, time=1681727652.055805)
MoveEvent(x=1738, y=0, time=1681727652.0621004)
MoveEvent(x=1739, y=0, time=1681727652.0689828)
MoveEvent(x=1741, y=0, time=1681727652.0755897)
ButtonEvent(event_type='down', button='left', time=1681727652.2291427)
ButtonEvent(event_type='up', button='left', time=1681727652.4514873)
MoveEvent(x=1738, y=1, time=1681727653.4606395)
MoveEvent(x=1735, y=3, time=1681727653.4681044)
MoveEvent(x=1729, y=6, time=1681727653.4751208)
MoveEvent(x=1723, y=10, time=1681727653.4814546)
MoveEvent(x=1716, y=14, time=1681727653.4880059)
MoveEvent(x=1711, y=18, time=1681727653.4945323)
MoveEvent(x=1706, y=20, time=1681727653.5015337)
MoveEvent(x=1697, y=27, time=1681727653.5085354)
MoveEvent(x=1688, y=31, time=1681727653.5155559)
MoveEvent(x=1681, y=34, time=1681727653.523249)
MoveEvent(x=1671, y=40, time=1681727653.5297596)
MoveEvent(x=1660, y=44, time=1681727653.5367663)
MoveEvent(x=1651, y=49, time=1681727653.5434377)
MoveEvent(x=1642, y=55, time=1681727653.5503602)
MoveEvent(x=1631, y=59, time=1681727653.5573616)
MoveEvent(x=1620, y=67, time=1681727653.5641365)
MoveEvent(x=1605, y=77, time=1681727653.5706885)
MoveEvent(x=1592, y=87, time=1681727653.5778718)
MoveEvent(x=1578, y=95, time=1681727653.5849047)
MoveEvent(x=1567, y=103, time=1681727653.5913846)
MoveEvent(x=1554, y=113, time=1681727653.598526)
MoveEvent(x=1543, y=119, time=1681727653.6056852)
MoveEvent(x=1534, y=125, time=1681727653.6123009)
MoveEvent(x=1526, y=131, time=1681727653.618873)
MoveEvent(x=1521, y=135, time=1681727653.6259117)
MoveEvent(x=1516, y=137, time=1681727653.6326952)
